,net_profit,total_closed,percent_profitable,profit_factor,max_drawdown,avg_trade,avg_bars,script
0,122.19,1682,61.3,4.389,1088.97,0.07,4,https://www.tradingview.com/script/mPztR6gR-Volty-Expan-Close-Strategy/
0,0.86,95,67.37,1.102,1637.00,0.01,30,https://www.tradingview.com/script/KRTl6oWG-Bollinger-Band-with-Date-Range-Options/
0,6.81,168,36.31,1.602,1813.00,0.04,31,https://www.tradingview.com/script/hfrFcHcL/
0,3773700,623,54.9,5.477,180000.00,6057.3,1,https://www.tradingview.com/script/tYFdN9ji-Max-High-Max-Low-AVG-ST/
0,145.35,1986,41.14,2.037,4567.31,0.07,10,https://www.tradingview.com/script/cX6X9Ry2-QuantNomad-SuperTrend-XBTUSD-1m/
0,979.1,80,50,1.925,220781.12,12.24,40,https://www.tradingview.com/script/51EIXTQe-noro-s-trailing-stop-strategy/
0,24885.45,336,69.35,1.54,10185971.16,74.06,4,https://www.tradingview.com/script/p2y7o8RN-robot-whitebox-multima/
0,3.06,306,38.24,1.004,131403.04,0.01,7,https://www.tradingview.com/script/aok76CW0-MACD-MOMENTUM-STRATEGY/
0,8.71,100,36,1.303,11952.39,0.09,7,https://www.tradingview.com/script/0KrB3hnV-TRAILING-STOP-LOSS-TO-LONG-AND-SHORT/
0,812.25,643,31.88,1.215,6936.00,1.26,9,https://www.tradingview.com/script/DLRcDoI4-ADX-Strategy/
0,148.26,13,76.92,6.452,165.60,11.4,11,https://www.tradingview.com/script/L9GkARD2-SUPERTREND-ATR-WITH-TRAILING-STOP-LOSS/
0,727.1,1326,83.18,2.989,112.12,0.55,5,https://www.tradingview.com/script/CtS3bsvy/
0,1.98,1428,38.17,1.259,532.10,0,6,https://www.tradingview.com/script/PWCLAkkM-Consecutive-Up-Down-Strategy-V1/
0,0.16,370,93.24,1143.2,0.03,0,45,https://www.tradingview.com/script/0Fclf4ol/
0,118.26,4,75,13.207,9687.78,29.57,38,https://www.tradingview.com/script/nqhMPbCJ-Bollinger-Bands-Cross-EMA/
0,41.36,909,94.94,4.982,2486.50,0.05,2,https://www.tradingview.com/script/3H99dPmM-BTC-MOM-EMA-V1/
0,3.4,78,74.36,1.679,205.10,0.04,39,https://www.tradingview.com/script/UyrQneYn-Breakout-Reversal-Entry-on-WMA-NG1-Overnight-ver-1/
0,1473.33,146,90.41,49.569,238.05,10.09,663,https://www.tradingview.com/script/8FNK60U9/
0,0.59,516,42.64,1.691,58.10,0,13,https://www.tradingview.com/script/pbbY2XBu/
0,5.08,335,45.67,1.073,2358.50,0.02,3,https://www.tradingview.com/script/WyA5pZCd-No-Nonsense-NNFX-VP-Strategy-for-Back-Testing-Baseline-jh/
0,37.55,1420,38.73,1.194,10012.50,0.03,5,https://www.tradingview.com/script/InE5u72J-Combo-Backtest-123-Reversal-Chande-Forecast-Oscillator/
0,4171.67,32,62.5,4.602,3215242.25,130.36,14,https://www.tradingview.com/script/SLF9v09O-BTC-strategy/
0,3245.82,31,58.06,3.015,562534.53,104.7,25,https://www.tradingview.com/script/Pg5fmZnP-Volatility-Stop-trading-with-risk-management/
0,32.5,325,36.92,3.262,928.84,0.1,1,https://www.tradingview.com/script/PzZN8vlA-VeryCrudePriceAction-V1/
0,42.5,43,44.19,4.127,4525.75,0.99,133,https://www.tradingview.com/script/JJPnSCFb-EMA-Strategy-30-100/
0,172.27,58,77.59,4.319,12836.48,2.97,4,https://www.tradingview.com/script/iHSFQFog/
0,832.81,222,71.17,2.177,144917.25,3.75,4,https://www.tradingview.com/script/Oty9KQiu-robot-whitebox-iceberg/
0,8.66,183,55.74,1.201,1886.70,0.05,15,https://www.tradingview.com/script/Y7dvbneb-Bollinger-Band-Strategy-Basic-Version-1/
0,37800,277,37.91,1.246,2598750.00,136.46,4,https://www.tradingview.com/script/jJmg1sbp-simple-momentum/
0,98.2,19,68.42,6.875,7611.14,5.17,51,https://www.tradingview.com/script/6yUfVIpe-Turtle-Strategy-Short-Sell-Version/
0,71.39,125,36,1.274,37863.37,0.57,8,https://www.tradingview.com/script/m2a04xmb-noro-s-shiftma-tp-sl-strategy/
0,798.31,214,63.55,2.567,722.29,3.73,60,https://www.tradingview.com/script/4I4ZajgE-Schaff-Trend-Cycle-Strategy-for-XBTUSD-15m-Backtest/
0,672.96,68,70.59,4.303,373.96,9.9,185,https://www.tradingview.com/script/Jb4W43od-Schaff-Trend-Cycle-Strategy-for-ETHUSD-15m-Backtest/
0,11.57,152,86.84,3.012,1531.00,0.08,20,https://www.tradingview.com/script/i72ZAisy-Stock-Strat-v1/
0,1.2,103,73.79,3.347,50.00,0.01,2,https://www.tradingview.com/script/89MAY2l8-the-puria-method/
0,8.65,465,33.76,0.98,66.40,0.02,12,https://www.tradingview.com/script/VRs3vyuL-MACD-with-Signal/
0,0.08,15,80,25.7,1.50,0.01,25,https://www.tradingview.com/script/L7pANzxH-CCI-Strat-Stock/
0,5427868.56,393,57,4.088,624005.20,13811.37,1,https://www.tradingview.com/script/Z1kuOKGw-Looks-Cool-BUT-MEH-V1/
0,18.32,248,38.71,1.522,4947.50,0.07,24,https://www.tradingview.com/script/dwyXnWxh-CT-TTM-Squeeze/
0,0,505,92.08,51.266,0.001,0,24,https://www.tradingview.com/script/ULdigyGh-scaled-normalized-vector-strategy/
0,31.05,231,30.74,1.193,359.21,0.13,25,https://www.tradingview.com/script/l9E3KMKc/
0,0,37,70.27,3.956,0.01,0,140,https://www.tradingview.com/script/YDLfGHT8-Just-Try-Different-Things/
0,0,38,39.47,4.856,0.31,0,45,https://www.tradingview.com/script/BzSoEXUq-serdaryilmaz-deneme2-strategy-depends-on-crossing/
0,17.43,270,90,13.028,559.42,0.06,68,https://www.tradingview.com/script/z5I25kRl-scaled-normalized-vector-strategy-ver-4/
0,378.04,71,77.46,4.067,35409.03,5.32,2,https://www.tradingview.com/script/NlIIByhz-noro-s-ddl-strategy/
0,53.95,74,55.41,2.211,8700.00,0.73,113,https://www.tradingview.com/script/yJed5wWf-Combo-Backtest-123-Reversal-Chande-Momentum-Oscillator/
0,13.97,1112,91.01,40.368,43.16,0.01,4,https://www.tradingview.com/script/LDk7bX6z-scaled-normalized-vector-strategy-ver-4-1/
0,9.36,749,35.65,0.988,137.56,0.01,13,https://www.tradingview.com/script/B85sdNEB/
0,2576.67,376,41.49,1.764,258900.19,6.85,16,https://www.tradingview.com/script/SK4l04qm-noro-s-dex-strategy/
0,55,22,50,1.25,12000.00,2.5,217,https://www.tradingview.com/script/bwF5bCek-Super-Trend-3/
0,227.05,49,71.43,47.637,413.40,4.63,107,https://www.tradingview.com/script/CnpzRNeh-Bitlinc-Entry-v0-1-VWMA-SMA-MRSI-SQQQ-94M/
0,0.41,102,91.18,1.931,191.13,0,8,https://www.tradingview.com/script/UciBflQm-multifactor-inverse-fisher-strategy-ps4/
0,1564.81,41,21.95,4.038,357393.30,38.17,57,https://www.tradingview.com/script/u7AVua3H-HODLBot/
0,9617.76,41,56.1,0.575,15240.47,234.58,174,https://www.tradingview.com/script/rrXBHOjt-RSI-Strategy-MA-Cross/
0,2821.50,1550,36.97,0.969,11854.50,1.82,10,https://www.tradingview.com/script/RhGBrg7A/
0,0,511,92.95,8.287,0.004,0,1,https://www.tradingview.com/script/nRLOZMow-4-jma-crossover-strategy-ps4/
0,0,680,91.47,6.098,0.002,0,2,https://www.tradingview.com/script/uIoSeM2w-hma-kahlman-strategy-with-pivoting/
0,91.59,1074,71.42,5.168,41.36,0.09,1,https://www.tradingview.com/script/5K3LE0Zs-Candle-Patterns-Strategy/
0,0,756,69.44,2.677,0.01,0,2,https://www.tradingview.com/script/3ndvXyjF-Candle-Patterns-Strategy/
0,9.36,820,62.93,4.156,55.50,0.01,1,https://www.tradingview.com/script/9kSTimMq-Candle-Patterns-Strategy-V1/
0,1158.8,11,81.82,27.133,26098.76,105.35,97,https://www.tradingview.com/script/yUrLPzt8-VIX-SHORT-SVXY-Daily-Chart-Oldinvestor/
0,35.61,1135,41.67,1.224,14612.50,0.03,6,https://www.tradingview.com/script/ZzmLkfPJ-Combo-Backtest-123-Reversal-CMO-WMA/
0,7.1,849,84.57,5.094,195.61,0.01,1,https://www.tradingview.com/script/YKl5HwS0-forecasting-least-squares-regression/
0,0,208,89.9,6.263,0.003,0,2,https://www.tradingview.com/script/eVzMWyqP-candlestick-patterns-strategy-revisited/
0,1.67,82,50,1.844,633.10,0.02,9,https://www.tradingview.com/script/LCVRe8TT/
0,9.89,43,65.12,4,1522.29,0.23,47,https://www.tradingview.com/script/0aTAuAPm-Double-Stochastic/
0,90.5,122,40.98,1.426,62560.80,0.74,5,https://www.tradingview.com/script/igQvEEWQ-MACD-Histogram-Backtest/
0,14374900,691,88.57,4.639,1935000.00,20803.04,2,https://www.tradingview.com/script/px1cnHpr-Buy-Only/
0,0.05,23,52.17,2.023,19.95,0,136,https://www.tradingview.com/script/ABqRvKZh-SAR-alternating-timeframe/
0,1.23,159,93.71,40.514,14.91,0.01,71,https://www.tradingview.com/script/wwOpdv9J-Investing-Gold/
0,2.7,144,29.17,5.428,180.40,0.02,81,https://www.tradingview.com/script/t1lk7Uvk-VWAPStrategy/
0,58.92,18,83.33,26.682,1.36,3.27,8,https://www.tradingview.com/script/IAA24GoZ/
0,11.43,1178,87.01,6.966,201.54,0.01,1,https://www.tradingview.com/script/zJxxMvgk-gettrend-strategy-modified-ported-to-ps4/
0,7.73,655,50.08,5.727,37.30,0.01,1,https://www.tradingview.com/script/sAPlGuft-SAR-V1/
0,2414.96,22,54.55,1.744,13840.12,109.77,9,https://www.tradingview.com/script/12eIYSzR-CS-AMA-Strategy-Channel-Break-Out/
0,22367.01,194,44.85,2.214,3275431.49,115.29,11,https://www.tradingview.com/script/ydg1mW9m/
0,0.04,281,4.27,1.582,23.90,0,5,https://www.tradingview.com/script/VXsMxRwP-candle-patterns-strategy-2/
0,0.23,177,47.46,3.45,7.17,0,1,https://www.tradingview.com/script/7xpM6RdE-Stock-Strat-HL-V1/
0,2.43,160,55.63,4.419,50.00,0.02,1,https://www.tradingview.com/script/gE3gAqE4-Stock-Strat-HL-V1/
0,918.33,65,52.31,2.99,124638.60,14.13,36,https://www.tradingview.com/script/6OEvKyvN-Parabolic-SAR-Strategy-w-EMA/
0,0.04,113,61.06,1.086,173.24,0,128,https://www.tradingview.com/script/bOHHYhBt-RSI-Strategy/
0,248.64,599,48.25,3.132,89.50,0.42,18,https://www.tradingview.com/script/tDM3U5y7-Renko-MACD-Cross-Strategy/
0,352.33,23,60.87,5.146,55362.58,15.32,44,https://www.tradingview.com/script/pl6UqKev-SAR-Trend-Trader-Strategy-By-jhanson107/
0,50211.75,97,42.27,2.924,143969242.42,517.65,10,https://www.tradingview.com/script/Q5bofawj-BTC-strategy-for-margin-trading/
0,532.5,57,56.14,3.745,1981.50,9.34,10,https://www.tradingview.com/script/oiVFpfAo-Strategy-for-The-Bitcoin-Buy-Sell-Indicator/
0,159.23,823,65.98,1.171,565.00,0.19,13,https://www.tradingview.com/script/ODSsYiTg-fx-gy-77/
0,4.94,279,48.75,1.381,2070.00,0.02,75,https://www.tradingview.com/script/Yet4DpeW-EMA-and-VWAP-CROSS/
0,0,504,65.48,1.416,0.58,0,32,https://www.tradingview.com/script/PUm29d9D-DAKELAX-XRPUSDT-Bollinger-Band-Strategy-for-Tradebotler/
0,91.02,165,66.67,21.778,660.10,0.55,6,https://www.tradingview.com/script/wOqo3G6t-Cryptopians-MA-Trading-Strategy/
0,207.62,641,19.19,1.248,113189.52,0.32,23,https://www.tradingview.com/script/8FdTBZHD-noro-s-ichimoku-stop-strategy/
0,0,17,47.06,7.276,0.25,0,39,https://www.tradingview.com/script/sKUOnN89-Crossing-Ema-20-9-by-Sedkur/
0,0,17,47.06,7.276,0.25,0,39,https://www.tradingview.com/script/n1fnqeE4-Crossing-Ema-Signals-by-Sedkur/
0,19.13,392,45.66,2.261,3183.76,0.05,5,https://www.tradingview.com/script/SjJXmlQ2-Strategy-for-DPMO/
0,31.74,42,30.95,1.237,37852.30,0.76,38,https://www.tradingview.com/script/9V0dlKxj-Trend-Trader-Strategy-Trend-Code/
0,179.93,177,44.07,1.531,87488.49,1.02,50,https://www.tradingview.com/script/TleTP4Fr-Odin-s-Kraken-TK-Cross-Strategy/
0,45.81,256,38.28,1.969,4714.69,0.18,86,https://www.tradingview.com/script/68EaMFyt-QuantCat-Intraday-Strategy-15M/
0,41.66,42,40.48,1.713,12113.36,0.99,91,https://www.tradingview.com/script/70YIsOYu-QuantCat-Mom-Finder-Strategy-1H/
0,0.08,330,30.3,1.273,68.42,0,30,https://www.tradingview.com/script/PEw395SF-8-On-34-ema-s/
0,3539.66,267,55.81,0.755,6965.59,13.26,4,https://www.tradingview.com/script/biWXd5sm-VP-Backtester-coppock-MA/
0,5.28,1151,62.12,8.276,21.82,0,19,https://www.tradingview.com/script/K0tQNyfK-SSL-Channel-Automatic-Indicator-by-forexcakemix689-copy/
0,0,288,58.68,16.521,0.0000001,0,11,https://www.tradingview.com/script/gM3ZllY9-AK-TREND-ID-Monthtly-Strategy-Version-Basic/
0,7.04,6,50,1.421,129.85,1.17,109,https://www.tradingview.com/script/qDBLK7wF-SuperTrend-Strategy/
